,ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year,LateArrival
13,100.0,81.0,-2.0,1220.0,1222,1045,97.0,,0,0,1,6,-5,1040.0,ATL,300.0,0,4120,0,11,0,GNV,0,N632AS,10,9,EV,0,2006,False
14,60.0,,-5.0,2040.0,2045,1940,65.0,NA,0,NA,6,27,0,1940.0,DFW,247.0,0,559,NA,10,NA,SAT,NA,NA,NA,NA,AA,NA,1990,False
15,79.0,70.0,-16.0,1444.0,1500,1220,100.0,NA,0,NA,7,19,5,1225.0,PIT,553.0,0,754,NA,11,NA,STL,NA,N970VJ,5,4,US,NA,1995,False
16,174.0,,43.0,1213.0,1130,1031,179.0,NA,0,NA,5,8,48,1119.0,DEN,1199.0,0,545,NA,10,NA,ATL,NA,NA,NA,NA,DL,NA,1993,True
17,133.0,117.0,40.0,1429.0,1349,1044,125.0,NA,0,NA,4,30,32,1116.0,BOS,867.0,0,1270,NA,1,NA,ORD,NA,N7280U,5,11,UA,NA,1997,True
18,33.0,22.0,-3.0,1916.0,1919,1845,34.0,,0,0,2,6,-2,1843.0,HNL,100.0,0,549,0,11,0,OGG,0,N477HA,5,6,HA,0,2007,False
19,57.0,31.0,-9.0,1659.0,1708,1612,56.0,,0,0,5,4,-10,1602.0,ATL,152.0,0,4632,0,2,0,TYS,0,N846AS,9,17,EV,0,2005,False
20,79.0,65.0,13.0,1558.0,1545,1420,85.0,NA,0,NA,3,4,19,1439.0,SMF,480.0,0,950,NA,8,NA,SAN,NA,N358,3,11,WN,NA,1999,True
21,95.0,74.0,136.0,2343.0,2127,2035,112.0,,0,136,7,30,153,2308.0,SGF,563.0,0,4811,0,7,0,ATL,0,N854AS,3,18,EV,0,2006,True
22,48.0,,-2.0,1128.0,1130,1040,50.0,NA,0,NA,6,7,0,1040.0,TUL,237.0,0,14,NA,4,NA,DAL,NA,NA,NA,NA,WN,NA,1990,False
23,63.0,,16.0,1611.0,1555,1455,60.0,NA,0,NA,4,17,13,1508.0,MDW,251.0,0,842,NA,5,NA,STL,NA,NA,NA,NA,WN,NA,1990,True
24,129.0,,9.0,2159.0,2150,1850,120.0,NA,0,NA,4,9,0,1850.0,MLI,751.0,0,722,NA,8,NA,DEN,NA,NA,NA,NA,UA,NA,1990,True
25,105.0,61.0,3.0,2017.0,2014,1835,99.0,NA,0,NA,5,7,-3,1832.0,PIT,335.0,0,1587,NA,1,NA,LGA,NA,N934VJ,7,37,US,NA,2000,True
26,143.0,122.0,4.0,824.0,820,600,140.0,,0,0,4,21,1,601.0,ATL,780.0,0,662,0,12,0,HPN,0,N996AT,11,10,FL,0,2006,True
27,67.0,52.0,-4.0,1514.0,1518,1410,68.0,NA,0,NA,7,23,-3,1407.0,PVD,328.0,0,2614,NA,8,NA,BWI,NA,N278AU,6,9,US,NA,1998,False
28,97.0,76.0,2.0,1359.0,1357,1215,102.0,NA,0,NA,6,23,7,1222.0,CLE,404.0,0,281,NA,12,NA,EWR,NA,N27610,4,17,CO,NA,2000,True
29,245.0,228.0,-14.0,2007.0,2021,1800,261.0,NA,0,NA,2,26,2,1802.0,DEN,1619.0,0,239,NA,12,NA,LGA,NA,N327UA,5,12,UA,NA,1995,False
30,81.0,60.0,-6.0,1049.0,1055,930,85.0,,0,0,2,21,-2,928.0,MDT,429.0,0,4473,0,8,0,CVG,0,N926EV,5,16,EV,0,2007,False
31,123.0,86.0,10.0,1442.0,1432,1245,107.0,NA,0,NA,5,15,-6,1239.0,DTW,453.0,0,1781,NA,11,NA,PHL,NA,N775NC,18,19,NW,NA,2002,True
32,69.0,54.0,-12.0,1756.0,1808,1644,84.0,NA,0,NA,6,29,3,1647.0,MSP,334.0,0,765,NA,9,NA,ORD,NA,N986�1,5,10,UA,NA,2001,False
33,59.0,44.0,-4.0,1230.0,1234,1125,69.0,NA,0,NA,1,24,6,1131.0,LIT,296.0,0,489,NA,3,NA,STL,NA,N52310,3,12,TW,NA,1997,False
34,110.0,104.0,-2.0,2333.0,2335,2135,120.0,NA,0,NA,5,28,8,2143.0,HOU,687.0,0,551,NA,12,NA,STL,NA,N81@@@,2,4,WN,NA,2001,False
35,119.0,100.0,-18.0,1547.0,1605,1450,135.0,,0,0,3,3,-2,1448.0,ORD,599.0,0,7449,0,12,0,CLT,0,N679BR,7,11,DH,0,2003,False
36,,,,,1125,1005,80.0,NA,1,NA,6,30,NA,,ALB,318.0,0,360,NA,12,NA,DCA,NA,UNKNOW,0,0,US,NA,2000,
37,51.0,35.0,-14.0,647.0,701,600,61.0,NA,0,NA,1,12,-4,556.0,IAH,201.0,0,2510,NA,5,NA,CRP,NA,N15910,8,8,XE,NA,2003,False
38,222.0,200.0,-4.0,1216.0,1220,830,230.0,NA,0,NA,4,26,4,834.0,SJU,1576.0,0,1268,NA,10,NA,PHL,NA,N782AU,8,14,US,NA,1995,False
39,157.0,144.0,1.0,941.0,940,700,160.0,NA,0,NA,1,8,4,704.0,TPA,920.0,0,223,NA,4,NA,PHL,NA,N223US,5,8,US,NA,1996,True
40,59.0,39.0,4.0,917.0,913,818,55.0,NA,0,NA,4,30,0,818.0,ANC,261.0,0,88,NA,7,NA,FAI,NA,N764AS,5,15,AS,NA,1998,True
41,88.0,75.0,-10.0,1250.0,1300,1125,95.0,NA,0,NA,7,10,-3,1122.0,MEM,559.0,0,1711,NA,9,NA,AUS,NA,N8925E,5,8,NW,NA,1995,False
42,66.0,,-5.0,2205.0,2210,2200,70.0,NA,0,NA,5,4,-1,2159.0,ORD,235.0,0,1710,NA,2,NA,DTW,NA,NA,NA,NA,NW,NA,1994,False
43,64.0,50.0,-24.0,1956.0,2020,1900,80.0,,0,0,2,10,-8,1852.0,LGA,214.0,0,4976,0,2,0,DCA,0,N720MQ,5,9,MQ,0,2004,False
44,,,,,841,745,56.0,B,1,0,5,16,NA,,ASE,125.0,0,7047,0,2,0,DEN,0,N434YV,0,0,YV,0,2007,
45,130.0,,-14.0,1801.0,1815,1651,144.0,NA,0,NA,4,30,0,1651.0,ORD,717.0,0,693,NA,8,NA,ORF,NA,NA,NA,NA,UA,NA,1990,False
46,280.0,,150.0,2320.0,2050,1330,260.0,NA,0,NA,4,15,130,1540.0,DTW,1979.0,0,26,NA,2,NA,LAX,NA,NA,NA,NA,NW,NA,1990,True
47,148.0,105.0,6.0,1320.0,1314,1155,139.0,NA,0,NA,5,31,-3,1152.0,STL,737.0,0,603,NA,3,NA,BWI,NA,N922TW,34,9,TW,NA,2000,True
48,64.0,56.0,-1.0,2144.0,2145,2040,65.0,,0,0,7,11,0,2040.0,BUR,358.0,0,893,0,1,0,SMF,0,N369,1,7,WN,0,2004,False
49,85.0,48.0,13.0,623.0,610,500,70.0,,0,NA,4,24,-2,458.0,MSP,284.0,0,2843,NA,1,NA,GFK,NA,89709E,10,27,9E,NA,2008,True
50,75.0,62.0,0.0,2245.0,2245,2130,75.0,NA,0,NA,3,22,0,2130.0,OAK,446.0,0,398,NA,2,NA,SAN,NA,N513,4,9,WN,NA,1995,False
51,166.0,150.0,-4.0,1446.0,1450,1200,170.0,,0,0,1,31,0,1200.0,BDL,1133.0,0,1449,0,7,0,PBI,0,N6713Y,3,13,DL,0,2006,False
52,103.0,82.0,62.0,1536.0,1434,1238,116.0,,0,0,5,28,75,1353.0,BUF,712.0,0,550,62,12,0,ATL,0,N937AT,4,17,FL,0,2007,True
53,160.0,147.0,-20.0,1840.0,1900,1605,175.0,NA,0,NA,6,2,-5,1600.0,TPA,998.0,0,1218,NA,3,NA,EWR,NA,N17306,3,10,CO,NA,2002,False
54,108.0,,3.0,1358.0,1355,1210,105.0,NA,0,NA,1,6,0,1210.0,SEA,671.0,0,475,NA,7,NA,OAK,NA,NA,NA,NA,AS,NA,1992,True
55,252.0,211.0,5.0,1415.0,1410,800,250.0,NA,0,NA,1,25,3,803.0,ORD,1846.0,0,46,NA,6,NA,SFO,NA,N589�1,4,37,UA,NA,2001,True
56,87.0,61.0,-1.0,727.0,728,600,88.0,,0,0,1,5,0,600.0,RDU,416.0,0,4625,0,9,0,EWR,0,N704PG,3,23,MQ,0,2005,False
57,197.0,171.0,-7.0,1252.0,1259,1135,204.0,NA,0,NA,7,29,0,1135.0,ELP,1282.0,0,325,NA,12,NA,ATL,NA,N522DA,7,19,DL,NA,2002,False
58,80.0,,-5.0,1235.0,1240,1115,85.0,NA,0,NA,2,15,0,1115.0,ATL,443.0,0,1018,NA,8,NA,MLB,NA,NA,NA,NA,DL,NA,1989,False
59,75.0,57.0,8.0,731.0,723,500,83.0,,0,0,1,29,16,516.0,ATL,425.0,0,2047,0,9,0,MSY,0,N949DL,5,13,DL,0,2003,True
60,66.0,43.0,-5.0,2209.0,2214,2108,66.0,,0,0,2,13,-5,2103.0,FLO,273.0,0,4255,0,7,0,ATL,0,N923EV,4,19,EV,0,2004,False
61,36.0,,3.0,1533.0,1530,1500,30.0,NA,0,NA,3,26,-3,1457.0,SFO,77.0,0,1770,NA,12,NA,MRY,NA,NA,NA,NA,UA,NA,1990,True
62,99.0,,-12.0,739.0,751,700,111.0,NA,0,NA,7,16,0,700.0,ORD,607.0,0,819,NA,4,NA,SYR,NA,NA,NA,NA,AA,NA,1989,False
63,51.0,39.0,4.0,1954.0,1950,1900,50.0,NA,0,NA,5,21,3,1903.0,ELP,223.0,0,432,NA,6,NA,ABQ,NA,N338,2,10,WN,NA,1996,True
64,117.0,93.0,-12.0,1719.0,1731,1516,135.0,NA,0,NA,1,25,6,1522.0,BOS,728.0,0,720,NA,6,NA,CLT,NA,N770��,11,13,US,NA,2001,False
65,189.0,175.0,-22.0,433.0,455,2325,210.0,,0,NA,2,26,-1,2324.0,MKE,1524.0,0,519,NA,8,NA,LAS,NA,N173AT,5,9,FL,NA,2008,False
66,149.0,111.0,12.0,1629.0,1617,1500,137.0,NA,0,NA,1,11,0,1500.0,STL,737.0,0,559,NA,9,NA,BWI,NA,N922TW,4,34,TW,NA,2000,True
67,148.0,125.0,266.0,2156.0,1730,1402,148.0,,0,259,4,1,266,1828.0,SJU,1045.0,0,1049,7,12,0,MIA,0,N623AA,3,20,AA,0,2005,True
68,170.0,155.0,-13.0,1149.0,1202,700,182.0,NA,0,NA,7,4,-1,659.0,MSP,1300.0,0,778,NA,5,NA,LAS,NA,N534US,3,12,NW,NA,2003,False
69,108.0,,-1.0,2203.0,2204,2015,109.0,NA,0,NA,7,3,0,2015.0,SJC,697.0,0,1442,NA,11,NA,SEA,NA,NA,NA,NA,AA,NA,1991,False
70,63.0,51.0,-12.0,938.0,950,835,75.0,NA,0,NA,4,18,0,835.0,ONT,325.0,0,600,NA,6,NA,PHX,NA,N342,2,10,WN,NA,1998,False
71,56.0,,-2.0,703.0,705,700,65.0,NA,0,NA,4,7,7,707.0,MDW,229.0,0,531,NA,2,NA,DTW,NA,NA,NA,NA,WN,NA,1991,False
72,58.0,,7.0,1149.0,1142,1045,57.0,NA,0,NA,7,10,6,1051.0,PIT,253.0,0,327,NA,5,NA,ABE,NA,NA,NA,NA,US,NA,1992,True
73,33.0,,-1.0,2353.0,2354,2320,34.0,NA,0,NA,3,11,0,2320.0,SAN,109.0,0,1840,NA,11,NA,LAX,NA,NA,NA,NA,PS,NA,1987,False
74,163.0,,0.0,1123.0,1123,940,163.0,NA,0,NA,1,12,0,940.0,DEN,1062.0,0,1719,NA,10,NA,MSY,NA,NA,NA,NA,CO,NA,1987,False
75,57.0,,-4.0,841.0,845,745,60.0,NA,0,NA,3,27,-1,744.0,PIT,243.0,0,290,NA,7,NA,AVP,NA,NA,NA,NA,US,NA,1994,False
76,139.0,111.0,-7.0,1146.0,1153,930,143.0,NA,0,NA,2,25,-3,927.0,DFW,802.0,0,2315,NA,6,NA,ORD,NA,N558AA,15,13,AA,NA,2002,False
77,97.0,79.0,-3.0,907.0,910,732,98.0,,0,0,4,29,-2,730.0,ORD,522.0,0,4168,0,9,0,XNA,0,N510AE,3,15,MQ,0,2005,False
78,62.0,43.0,1.0,1015.0,1014,913,61.0,,0,0,3,3,0,913.0,ATL,152.0,0,4215,0,10,0,TYS,0,N925EV,10,9,EV,0,2007,True
79,244.0,217.0,1.0,1817.0,1816,1600,256.0,,0,0,2,26,13,1613.0,LAX,1745.0,0,123,0,8,0,ORD,0,N569UA,9,18,UA,0,2003,True
80,109.0,,6.0,1016.0,1010,827,103.0,NA,0,NA,3,28,0,827.0,DTW,594.0,0,534,NA,6,NA,ATL,NA,NA,NA,NA,DL,NA,1989,True
81,122.0,78.0,-9.0,1055.0,1104,900,124.0,,0,0,2,18,-7,853.0,DTW,501.0,0,537,0,9,0,LGA,0,N507US,9,35,NW,0,2007,False
82,101.0,85.0,-17.0,1736.0,1753,1700,113.0,,0,0,5,3,-5,1655.0,PIA,564.0,0,4646,0,12,0,ATL,0,N858AS,2,14,EV,0,2004,False
83,97.0,84.0,-2.0,1015.0,1017,844,93.0,,0,0,7,22,-6,838.0,ATL,445.0,0,307,0,7,0,SRQ,0,N149AT,5,8,FL,0,2007,False
84,158.0,140.0,-4.0,1434.0,1438,1200,158.0,,0,NA,4,25,-4,1156.0,MCO,1011.0,0,554,NA,12,NA,BUF,NA,N267AT,8,10,FL,NA,2008,False
85,57.0,43.0,31.0,1404.0,1333,1230,63.0,NA,0,NA,7,20,37,1307.0,GRR,268.0,0,2017,NA,10,NA,CVG,NA,N322DL,5,9,DL,NA,1996,True
86,148.0,131.0,-9.0,826.0,835,700,155.0,NA,0,NA,4,1,-2,658.0,MSP,906.0,0,739,NA,8,NA,ATL,NA,N95S,4,13,NW,NA,1996,False
87,115.0,103.0,5.0,1435.0,1430,1240,110.0,,0,0,2,21,0,1240.0,PHX,646.0,0,1405,0,10,0,OAK,0,N520,4,8,WN,0,2003,True
88,206.0,180.0,9.0,2051.0,2042,1916,206.0,NA,0,NA,6,8,9,1925.0,SNA,1205.0,0,1169,NA,9,NA,DFW,NA,N417A1,8,18,AA,NA,2001,True
89,140.0,123.0,11.0,1022.0,1011,700,131.0,,0,0,3,23,2,702.0,CVG,812.0,0,1610,0,7,0,DFW,0,N394DA,5,12,DL,0,2003,True
90,233.0,212.0,-23.0,1649.0,1712,1500,252.0,NA,0,NA,3,21,-4,1456.0,SNA,1726.0,0,649,NA,7,NA,ORD,NA,N5CNAA,5,16,AA,NA,1999,False
91,118.0,99.0,4.0,1638.0,1634,1541,113.0,,0,0,2,27,-1,1540.0,DEN,627.0,0,6554,0,3,0,FAR,0,N951SW,6,13,OO,0,2007,True
92,100.0,,3.0,1748.0,1745,1510,95.0,NA,0,NA,7,12,-2,1508.0,DSM,589.0,0,690,NA,3,NA,DEN,NA,NA,NA,NA,UA,NA,1989,True
93,160.0,142.0,-39.0,1154.0,1233,915,198.0,NA,0,NA,6,25,-1,914.0,MIA,1097.0,0,813,NA,12,NA,LGA,NA,N629AA,4,14,AA,NA,1999,False
94,51.0,41.0,4.0,1209.0,1205,1110,55.0,NA,0,NA,4,5,8,1118.0,TPA,197.0,0,1119,NA,12,NA,FLL,NA,N635,3,7,WN,NA,2002,True
95,83.0,64.0,-9.0,1035.0,1044,919,85.0,,0,0,5,16,-7,912.0,MSP,349.0,0,221,0,3,0,MDW,0,N944AT,8,11,FL,0,2007,False
96,97.0,88.0,7.0,1542.0,1535,1455,100.0,NA,0,NA,1,19,10,1505.0,ABQ,580.0,0,30,NA,1,NA,DAL,NA,N620,3,6,WN,NA,1998,True
97,115.0,,12.0,2055.0,2043,1757,106.0,NA,0,NA,5,18,3,1800.0,PHX,646.0,0,482,NA,1,NA,OAK,NA,NA,NA,NA,HP,NA,1991,True
98,87.0,,5.0,1607.0,1602,1440,82.0,NA,0,NA,1,7,0,1440.0,SFO,421.0,0,495,NA,6,NA,PSP,NA,NA,NA,NA,AS,NA,1993,True
99,40.0,28.0,-10.0,850.0,900,810,50.0,,0,0,5,7,0,810.0,ORF,159.0,0,1272,0,5,0,BWI,0,N633SW,2,10,WN,0,2004,False
100,63.0,45.0,-11.0,1749.0,1800,1650,70.0,,0,0,3,27,-4,1646.0,PHL,267.0,0,1465,0,12,0,PIT,0,N722UW,5,13,US,0,2006,False
101,71.0,42.0,2.0,1820.0,1818,1716,62.0,,0,NA,3,29,-7,1709.0,IAH,201.0,0,2842,NA,10,NA,LFT,NA,N13968,5,24,XE,NA,2008,True
102,180.0,158.0,3.0,2006.0,2003,1610,173.0,NA,0,NA,2,25,-4,1606.0,DCA,1208.0,0,468,NA,3,NA,IAH,NA,N17329,4,18,CO,NA,1997,True
103,119.0,97.0,-22.0,2258.0,2320,1958,142.0,,0,0,4,19,1,1959.0,JAX,817.0,0,168,0,4,0,IAH,0,N18622,6,16,CO,0,2007,False
104,250.0,233.0,15.0,1025.0,1010,815,235.0,,0,0,7,2,0,815.0,LAS,1521.0,0,880,0,11,15,MDW,0,N432,5,12,WN,0,2003,True
105,95.0,70.0,2.0,1037.0,1035,900,95.0,,0,0,6,31,2,902.0,STL,546.0,0,222,0,3,0,DAL,0,N322SW,4,21,WN,0,2007,True
106,269.0,233.0,48.0,2222.0,2134,1900,274.0,,0,6,1,4,53,1953.0,SFO,1846.0,0,157,42,8,0,ORD,0,N452UA,7,29,UA,0,2003,True
107,94.0,74.0,2.0,1713.0,1711,1545,86.0,,0,0,1,10,-6,1539.0,PHL,336.0,0,1238,0,12,0,RDU,0,N763US,9,11,US,0,2007,True
108,81.0,55.0,11.0,1127.0,1116,1008,68.0,NA,0,NA,5,28,-2,1006.0,PHX,338.0,0,204,NA,8,NA,SNA,NA,N169AW,6,20,HP,NA,1998,True
109,94.0,74.0,13.0,1008.0,955,920,95.0,NA,0,NA,3,20,14,934.0,STL,440.0,0,484,NA,5,NA,DTW,NA,N686,5,15,WN,NA,1998,True
110,80.0,64.0,22.0,1547.0,1525,1410,75.0,NA,0,NA,4,12,17,1427.0,OMA,423.0,0,332,NA,6,NA,MDW,NA,N686,8,8,WN,NA,1997,True
111,104.0,82.0,5.0,1412.0,1407,1225,102.0,NA,0,NA,2,5,3,1228.0,EWR,529.0,0,1123,NA,9,NA,CLT,NA,N829US,5,17,US,NA,1995,True
112,104.0,84.0,3.0,1137.0,1134,955,99.0,NA,0,NA,5,4,-2,953.0,CLE,554.0,0,1220,NA,7,NA,ATL,NA,N10251,6,14,CO,NA,1997,True
113,104.0,94.0,14.0,1654.0,1640,1545,115.0,NA,0,NA,4,7,25,1610.0,MDW,611.0,0,1377,NA,10,NA,BWI,NA,N358,4,6,WN,NA,1999,True
114,124.0,91.0,17.0,1154.0,1137,850,107.0,NA,0,NA,7,10,0,850.0,TPA,656.0,0,878,NA,10,NA,MEM,NA,N343NW,5,28,NW,NA,1999,True
115,84.0,,2.0,1519.0,1517,1355,82.0,NA,0,NA,6,28,0,1355.0,PVD,467.0,0,148,NA,3,NA,PIT,NA,NA,NA,NA,US,NA,1992,True
116,66.0,,-12.0,951.0,1003,945,78.0,NA,0,NA,7,5,0,945.0,MGM,372.0,0,1499,NA,7,NA,CLT,NA,NA,NA,NA,US,NA,1992,False
117,90.0,80.0,-10.0,1225.0,1235,1055,100.0,NA,0,NA,4,3,0,1055.0,OAK,543.0,0,1662,NA,4,NA,PDX,NA,N693,5,5,WN,NA,2003,False
118,58.0,49.0,-2.0,1933.0,1935,1835,60.0,NA,0,NA,6,4,0,1835.0,DAL,293.0,0,392,NA,7,NA,LBB,NA,N504,3,6,WN,NA,1998,False
119,273.0,231.0,0.0,610.0,610,2240,270.0,,0,0,4,12,-3,2237.0,JAX,2153.0,0,872,0,4,0,LAX,0,N3763D,19,23,DL,0,2007,False
120,72.0,,71.0,2134.0,2023,1903,80.0,NA,0,NA,2,11,79,2022.0,BTV,266.0,0,1288,NA,6,NA,EWR,NA,NA,NA,NA,CO,NA,1991,True
121,385.0,363.0,21.0,1141.0,1120,745,395.0,,0,0,6,19,31,816.0,SFO,2704.0,0,173,16,2,5,BOS,0,N649UA,6,16,UA,0,2005,True
122,76.0,48.0,11.0,1255.0,1244,1142,62.0,NA,0,NA,2,24,-3,1139.0,LIT,304.0,0,868,NA,11,NA,DFW,NA,N2ATAA,6,22,AA,NA,1998,True
123,50.0,,5.0,1150.0,1145,1100,45.0,NA,0,NA,4,19,0,1100.0,HOU,192.0,0,559,NA,11,NA,SAT,NA,NA,NA,NA,WN,NA,1992,True
124,389.0,369.0,-2.0,2257.0,2259,1920,399.0,,0,0,7,23,8,1928.0,ANC,2846.0,0,131,0,7,0,ORD,0,N615AS,6,14,AS,0,2006,False
125,142.0,121.0,-6.0,919.0,925,601,144.0,NA,0,NA,6,24,-4,557.0,DEN,992.0,0,1592,NA,8,NA,PDX,NA,N461UA,10,11,UA,NA,2002,False
126,75.0,61.0,-5.0,635.0,640,620,80.0,,0,0,4,19,0,620.0,SEA,399.0,0,789,0,6,0,BOI,0,N699,5,9,WN,0,2003,False
127,80.0,68.0,0.0,2045.0,2045,1925,80.0,NA,0,NA,5,28,0,1925.0,SNA,371.0,0,690,NA,5,NA,OAK,NA,N510,5,7,WN,NA,1999,False
128,86.0,70.0,-7.0,751.0,758,630,88.0,,0,0,3,25,-5,625.0,IAH,321.0,0,9552,0,5,0,SJT,0,N586SW,7,9,OO,0,2005,False
129,150.0,86.0,37.0,1203.0,1126,935,111.0,NA,0,NA,1,28,-2,933.0,DTW,594.0,0,476,NA,6,NA,ATL,NA,N8877Z,6,58,NW,NA,1999,True
130,126.0,108.0,0.0,1417.0,1417,1209,128.0,,0,0,4,31,2,1211.0,LAS,762.0,0,602,0,7,0,PDX,0,N958AS,10,8,AS,0,2003,False
131,51.0,,31.0,1321.0,1250,1151,59.0,NA,0,NA,3,28,39,1230.0,IAH,224.0,0,1428,NA,9,NA,DFW,NA,NA,NA,NA,DL,NA,1994,True
132,47.0,40.0,-8.0,2112.0,2120,2025,55.0,NA,0,NA,1,1,0,2025.0,SAT,248.0,0,173,NA,6,NA,DAL,NA,N334,2,5,WN,NA,1998,False
133,70.0,47.0,7.0,735.0,728,610,78.0,,0,0,2,30,15,625.0,IAD,288.0,0,7333,0,12,0,CLE,0,N706BR,7,16,DH,0,2003,True
134,71.0,58.0,-8.0,1113.0,1121,1006,75.0,NA,0,NA,3,9,-4,1002.0,PHX,355.0,0,2510,NA,7,NA,LGB,NA,N169AW,7,6,HP,NA,1997,False
135,98.0,73.0,86.0,1714.0,1548,1446,62.0,,0,0,1,20,50,1536.0,DFW,282.0,0,3406,50,3,36,LBB,0,N695AE,14,11,MQ,0,2006,True
136,139.0,115.0,-8.0,1822.0,1830,1500,150.0,NA,0,NA,6,13,3,1503.0,MCO,1005.0,0,929,NA,6,NA,ORD,NA,N429UA,6,18,UA,NA,1998,False
137,169.0,,-9.0,2341.0,2350,1953,177.0,NA,0,NA,2,2,-1,1952.0,IAH,1195.0,0,1614,NA,6,NA,SLC,NA,NA,NA,NA,DL,NA,1992,False
138,100.0,79.0,-1.0,1159.0,1200,1020,100.0,NA,0,NA,5,7,-1,1019.0,MSP,449.0,0,126,NA,3,NA,STL,NA,N414EA,4,17,TW,NA,1997,False
139,81.0,,2.0,911.0,909,750,79.0,NA,0,NA,6,22,0,750.0,ORD,258.0,0,888,NA,4,NA,STL,NA,NA,NA,NA,AA,NA,1989,True
140,76.0,,19.0,1549.0,1530,1435,55.0,NA,0,NA,2,13,-2,1433.0,FSD,197.0,0,152,NA,3,NA,MSP,NA,NA,NA,NA,NW,NA,1990,True
141,71.0,53.0,16.0,1823.0,1807,1641,86.0,,0,6,4,9,31,1712.0,CRP,354.0,0,3367,10,12,0,DFW,0,N630AE,4,14,MQ,0,2004,True
142,233.0,207.0,-4.0,1912.0,1916,1720,236.0,,0,0,3,25,-1,1719.0,SAN,1532.0,0,185,0,1,0,MSP,0,N541US,3,23,NW,0,2006,False
143,140.0,,120.0,1506.0,1306,1000,126.0,NA,0,NA,7,13,106,1146.0,DEN,862.0,0,278,NA,12,NA,LAX,NA,NA,NA,NA,UA,NA,1987,True
144,,,,,1130,1005,85.0,NA,1,NA,2,18,NA,,BWI,495.0,0,1162,NA,2,NA,SDF,NA,,0,0,WN,NA,2003,
145,160.0,,4.0,2055.0,2051,1815,156.0,NA,0,NA,4,19,0,1815.0,SNA,978.0,0,1635,NA,8,NA,SEA,NA,NA,NA,NA,AA,NA,1993,True
146,53.0,,2.0,1256.0,1254,1205,49.0,NA,0,NA,1,8,-2,1203.0,IAD,134.0,0,1195,NA,5,NA,PHL,NA,NA,NA,NA,UA,NA,1989,True
147,145.0,117.0,-7.0,1333.0,1340,1110,150.0,NA,0,NA,3,20,-2,1108.0,DCA,920.0,0,1378,NA,11,NA,MIA,NA,N3CUAA,4,24,AA,NA,2002,False
